pair_id,group_id,split,arm,rule_id,gold,p
hp-enterprise-transfer,hp,test,rich,operating_business,True,0.75
hp-enterprise-transfer,hp,test,names_and_dates,corporate_group,False,0.85
hp-enterprise-transfer,hp,test,names_and_dates,operating_business,True,0.54
hp-retained-business,hp,test,rich,corporate_group,True,0.85
hp-retained-business,hp,test,rich,operating_business,True,0.76
hp-retained-business,hp,test,names_and_dates,corporate_group,True,0.78
hp-retained-business,hp,test,names_and_dates,operating_business,True,0.47
hp-companies-after,hp,test,rich,legal_entity,False,0.05
hp-companies-after,hp,test,rich,corporate_group,False,0.17
hp-companies-after,hp,test,rich,operating_business,False,0.09
hp-companies-after,hp,test,names_and_dates,legal_entity,False,0.3
hp-companies-after,hp,test,names_and_dates,corporate_group,False,0.34
hp-companies-after,hp,test,names_and_dates,operating_business,False,0.25
hp-divisions-before,hp,test,rich,corporate_group,True,0.45
hp-divisions-before,hp,test,rich,operating_business,False,0.07
hp-divisions-before,hp,test,names_and_dates,corporate_group,True,0.85
hp-divisions-before,hp,test,names_and_dates,operating_business,False,0.12
ibm-business-transfer,ibm,test,rich,corporate_group,False,0.33
ibm-business-transfer,ibm,test,rich,operating_business,True,0.65
ibm-business-transfer,ibm,test,names_and_dates,corporate_group,False,0.59
ibm-business-transfer,ibm,test,names_and_dates,operating_business,True,0.77
ibm-parent-after,ibm,test,rich,legal_entity,False,0.05
ibm-parent-after,ibm,test,rich,corporate_group,False,0.1
ibm-parent-after,ibm,test,names_and_dates,legal_entity,False,0.12
ibm-parent-after,ibm,test,names_and_dates,corporate_group,False,0.23
ibm-parent-before,ibm,test,rich,legal_entity,False,0.04
ibm-parent-before,ibm,test,rich,corporate_group,True,0.82
ibm-parent-before,ibm,test,names_and_dates,legal_entity,False,0.15
ibm-parent-before,ibm,test,names_and_dates,corporate_group,True,0.3
kyndryl-controller-change,ibm,test,rich,legal_entity,True,0.84
kyndryl-controller-change,ibm,test,rich,corporate_group,False,0.33
kyndryl-controller-change,ibm,test,names_and_dates,legal_entity,True,0.95
kyndryl-controller-change,ibm,test,names_and_dates,corporate_group,False,0.96
facebook-meta-rename,meta,test,rich,legal_entity,True,0.98
facebook-meta-rename,meta,test,rich,corporate_group,True,0.98
facebook-meta-rename,meta,test,rich,operating_business,True,0.95
facebook-meta-rename,meta,test,names_and_dates,legal_entity,True,0.94
facebook-meta-rename,meta,test,names_and_dates,corporate_group,True,0.97
facebook-meta-rename,meta,test,names_and_dates,operating_business,True,0.94
meta-segments,meta,test,rich,corporate_group,True,0.91
meta-segments,meta,test,rich,operating_business,False,0.06
meta-segments,meta,test,names_and_dates,corporate_group,True,0.9
meta-segments,meta,test,names_and_dates,operating_business,False,0.08
lordstown-plant-transfer,foxconn,test,rich,legal_entity,False,0.03
lordstown-plant-transfer,foxconn,test,rich,corporate_group,False,0.18
lordstown-plant-transfer,foxconn,test,rich,physical_site,True,0.85
lordstown-plant-transfer,foxconn,test,rich,operating_business,True,0.46
lordstown-plant-transfer,foxconn,test,names_and_dates,legal_entity,False,0.15
lordstown-plant-transfer,foxconn,test,names_and_dates,corporate_group,False,0.41
lordstown-plant-transfer,foxconn,test,names_and_dates,physical_site,True,0.79
lordstown-plant-transfer,foxconn,test,names_and_dates,operating_business,True,0.58
lordstown-parent-subsidiary,foxconn,test,rich,legal_entity,False,0.03
lordstown-parent-subsidiary,foxconn,test,rich,corporate_group,True,0.93
lordstown-parent-subsidiary,foxconn,test,names_and_dates,legal_entity,False,0.53
lordstown-parent-subsidiary,foxconn,test,names_and_dates,corporate_group,True,0.72
foxconn-different-sites,foxconn,test,rich,corporate_group,True,0.96
foxconn-different-sites,foxconn,test,rich,physical_site,False,0.02
foxconn-different-sites,foxconn,test,rich,operating_business,False,0.06
foxconn-different-sites,foxconn,test,names_and_dates,corporate_group,True,0.91
foxconn-different-sites,foxconn,test,names_and_dates,physical_site,False,0.13
foxconn-different-sites,foxconn,test,names_and_dates,operating_business,False,0.31
