pair_id,group_id,split,arm,rule_id,gold,p
kellogg-business-transfer,kellogg,test,identity,operating_business,True,0.8
kellogg-business-transfer,kellogg,test,rule,corporate_group,False,0.17
kellogg-business-transfer,kellogg,test,rule,operating_business,True,0.91
kellogg-retained-business,kellogg,test,identity,corporate_group,True,0.93
kellogg-retained-business,kellogg,test,identity,operating_business,True,0.72
kellogg-retained-business,kellogg,test,rule,corporate_group,True,0.94
kellogg-retained-business,kellogg,test,rule,operating_business,True,0.76
kellogg-divisions-before,kellogg,test,identity,corporate_group,True,0.53
kellogg-divisions-before,kellogg,test,identity,operating_business,False,0.06
kellogg-divisions-before,kellogg,test,rule,corporate_group,True,0.5
kellogg-divisions-before,kellogg,test,rule,operating_business,False,0.04
kraft-rename,kraft,test,identity,legal_entity,True,0.86
kraft-rename,kraft,test,identity,corporate_group,True,0.83
kraft-rename,kraft,test,rule,legal_entity,True,0.91
kraft-rename,kraft,test,rule,corporate_group,True,0.86
kraft-companies-after,kraft,test,identity,legal_entity,False,0.04
kraft-companies-after,kraft,test,identity,corporate_group,False,0.15
kraft-companies-after,kraft,test,identity,operating_business,False,0.1
kraft-companies-after,kraft,test,rule,legal_entity,False,0.04
kraft-companies-after,kraft,test,rule,corporate_group,False,0.25
kraft-companies-after,kraft,test,rule,operating_business,False,0.12
kraft-business-transfer,kraft,test,identity,corporate_group,False,0.3
kraft-business-transfer,kraft,test,identity,operating_business,True,0.78
kraft-business-transfer,kraft,test,rule,corporate_group,False,0.32
kraft-business-transfer,kraft,test,rule,operating_business,True,0.89
kraft-retained-business,kraft,test,identity,corporate_group,True,0.88
kraft-retained-business,kraft,test,identity,operating_business,True,0.65
kraft-retained-business,kraft,test,rule,corporate_group,True,0.9
kraft-retained-business,kraft,test,rule,operating_business,True,0.72
kraft-divisions-before,kraft,test,identity,corporate_group,True,0.76
kraft-divisions-before,kraft,test,identity,operating_business,False,0.05
kraft-divisions-before,kraft,test,rule,corporate_group,True,0.83
kraft-divisions-before,kraft,test,rule,operating_business,False,0.03
linkedin-parent-before,microsoft,test,identity,legal_entity,False,0.04
linkedin-parent-before,microsoft,test,identity,corporate_group,False,0.22
linkedin-parent-before,microsoft,test,rule,legal_entity,False,0.03
linkedin-parent-before,microsoft,test,rule,corporate_group,False,0.23
linkedin-parent-after,microsoft,test,identity,legal_entity,False,0.2
linkedin-parent-after,microsoft,test,identity,corporate_group,True,0.91
linkedin-parent-after,microsoft,test,rule,legal_entity,False,0.19
linkedin-parent-after,microsoft,test,rule,corporate_group,True,0.97
linkedin-acquired,microsoft,test,identity,legal_entity,True,0.86
linkedin-acquired,microsoft,test,identity,corporate_group,False,0.92
linkedin-acquired,microsoft,test,identity,operating_business,True,0.94
linkedin-acquired,microsoft,test,rule,legal_entity,True,0.78
linkedin-acquired,microsoft,test,rule,corporate_group,False,0.82
linkedin-acquired,microsoft,test,rule,operating_business,True,0.91
hambach-transfer,hambach,test,identity,corporate_group,False,0.29
hambach-transfer,hambach,test,identity,physical_site,True,0.93
hambach-transfer,hambach,test,identity,operating_business,True,0.88
hambach-transfer,hambach,test,rule,corporate_group,False,0.28
hambach-transfer,hambach,test,rule,physical_site,True,0.97
hambach-transfer,hambach,test,rule,operating_business,True,0.94
hambach-two-programs,hambach,test,identity,corporate_group,True,0.91
hambach-two-programs,hambach,test,identity,physical_site,True,0.95
hambach-two-programs,hambach,test,identity,operating_business,False,0.09
hambach-two-programs,hambach,test,rule,corporate_group,True,0.89
hambach-two-programs,hambach,test,rule,physical_site,True,0.96
hambach-two-programs,hambach,test,rule,operating_business,False,0.03
mercedes-two-sites,hambach,test,identity,corporate_group,True,0.86
mercedes-two-sites,hambach,test,identity,physical_site,False,0.02
mercedes-two-sites,hambach,test,identity,operating_business,False,0.05
mercedes-two-sites,hambach,test,rule,corporate_group,True,0.9
mercedes-two-sites,hambach,test,rule,physical_site,False,0.02
mercedes-two-sites,hambach,test,rule,operating_business,False,0.03
google-alphabet-parent,alphabet,test,identity,legal_entity,False,0.11
google-alphabet-parent,alphabet,test,identity,corporate_group,True,0.83
google-alphabet-parent,alphabet,test,rule,legal_entity,False,0.05
google-alphabet-parent,alphabet,test,rule,corporate_group,True,0.92
